Distance(Angstrom),Ground_Energy(Hartree),Excited_1_Energy(Hartree),Excited_2_Energy(Hartree),Excited_3_Energy(Hartree),Excited_4_Energy(Hartree),Excited_5_Energy(Hartree)
4.000000000000000000e+00,-1.018693988530318784e+00,-6.474999999999999645e-01,-7.689489359896142240e-01,-6.579499450918706582e-01,-6.926727748809849983e-01,-6.556633503068242108e-01
4.045454545454544970e+00,-1.017666682834203806e+00,-6.471859039836568295e-01,-7.686747339071742235e-01,-6.575826313199755191e-01,-6.913766731659640730e-01,-6.543845251005315777e-01
4.090909090909090828e+00,-1.016683043711961387e+00,-6.468686868686868152e-01,-7.684071413173103604e-01,-6.572312894194722865e-01,-6.901246293489741168e-01,-6.531451214930752425e-01
4.136363636363636687e+00,-1.015741366544187230e+00,-6.465484515484515304e-01,-7.681461454221861773e-01,-6.568953252608754623e-01,-6.889158619800473948e-01,-6.519444893499359850e-01
4.181818181818181657e+00,-1.014839998735068249e+00,-6.462252964426876689e-01,-7.678917182223822246e-01,-6.565741561020386197e-01,-6.877495221105726086e-01,-6.507819315330491960e-01
4.227272727272727515e+00,-1.013977339640241393e+00,-6.458993157380253924e-01,-7.676438181581332065e-01,-6.562672117065732058e-01,-6.866247051759142295e-01,-6.496567115247658952e-01
4.272727272727273373e+00,-1.013151840292402461e+00,-6.455705996131527735e-01,-7.674023916149090851e-01,-6.559739352484401653e-01,-6.855404615780619215e-01,-6.485680602952896834e-01
4.318181818181818343e+00,-1.012362002952249096e+00,-6.452392344497607235e-01,-7.671673743035883897e-01,-6.556937840282988095e-01,-6.844958060931576327e-01,-6.475151824793389244e-01
4.363636363636363313e+00,-1.011606380509431524e+00,-6.449053030303030232e-01,-7.669386925247292375e-01,-6.554262300245110584e-01,-6.834897262173718069e-01,-6.464972619223631201e-01
4.409090909090909172e+00,-1.010883575755578301e+00,-6.445688847235239161e-01,-7.667162643257477983e-01,-6.551707602992735691e-01,-6.825211895542337981e-01,-6.455134666516649800e-01
4.454545454545455030e+00,-1.010192240549093734e+00,-6.442300556586270099e-01,-7.665000005591749987e-01,-6.549268772781727810e-01,-6.815891503370818949e-01,-6.445629533231925778e-01
4.500000000000000000e+00,-1.009531074889288949e+00,-6.438888888888888440e-01,-7.662898058495641873e-01,-6.546940989194971472e-01,-6.806925551716938028e-01,-6.436448711905565778e-01
4.545454545454545858e+00,-1.008898825915480524e+00,-6.435454545454545316e-01,-7.660855794760680348e-01,-6.544719587878751188e-01,-6.798303480763320250e-01,-6.427583656389557198e-01
4.590909090909090828e+00,-1.008294286844950927e+00,-6.431998199819981554e-01,-7.658872161771902443e-01,-6.542600060452261612e-01,-6.790014748893032914e-01,-6.419025813231327149e-01
4.636363636363636687e+00,-1.007716295862096656e+00,-6.428520499108734132e-01,-7.656946068837390262e-01,-6.540578053705817796e-01,-6.782048871076362673e-01,-6.410766649452104282e-01
4.681818181818181657e+00,-1.007163734969676261e+00,-6.425022065313326092e-01,-7.655076393855673178e-01,-6.538649368190588840e-01,-6.774395452145742791e-01,-6.402797677052565195e-01
4.727272727272727515e+00,-1.006635528811797409e+00,-6.421503496503496722e-01,-7.653261989372727170e-01,-6.536809956291143031e-01,-6.767044215481962111e-01,-6.395110474546532586e-01
4.772727272727272485e+00,-1.006130643477135767e+00,-6.417965367965366985e-01,-7.651501688076475238e-01,-6.535055919861785245e-01,-6.759985027585825312e-01,-6.387696705798212582e-01
4.818181818181818343e+00,-1.005648085289847504e+00,-6.414408233276156501e-01,-7.649794307773176705e-01,-6.533383507498438103e-01,-6.753207918964889700e-01,-6.380548136415027383e-01
4.863636363636363313e+00,-1.005186899594715522e+00,-6.410832625318606537e-01,-7.648138655886773662e-01,-6.531789111509468393e-01,-6.746703101724345064e-01,-6.373656647926795316e-01
4.909090909090909172e+00,-1.004746169542227729e+00,-6.407239057239056956e-01,-7.646533533519233039e-01,-6.530269264641475058e-01,-6.740460984214263762e-01,-6.367014249962223982e-01
4.954545454545455030e+00,-1.004325014878553635e+00,-6.403628023352793130e-01,-7.644977739107087222e-01,-6.528820636609343753e-01,-6.734472183051881666e-01,-6.360613090615706566e-01
5.000000000000000000e+00,-1.003922590744702914e+00,-6.399999999999999023e-01,-7.643470071706736091e-01,-6.527440030473963262e-01,-6.728727532807116107e-01,-6.354445465180775798e-01
